N,L,R0,M,T,Util,Idle,Collisions
463,20,8,6,50000,75.034,12.076,6445
464,20,8,6,50000,75.366,11.942,6346
465,20,8,6,50000,75.17,11.968,6431
466,20,8,6,50000,75.374,11.916,6355
467,20,8,6,50000,74.98599999999999,12.138,6438
468,20,8,6,50000,74.888,12.138,6487
469,20,8,6,50000,74.942,12.1,6479
470,20,8,6,50000,75.944,11.612,6222
471,20,8,6,50000,76.35,11.454,6098
472,20,8,6,50000,75.28,11.944,6388
473,20,8,6,50000,75.51400000000001,11.78,6353
474,20,8,6,50000,75.924,11.645999999999999,6215
475,20,8,6,50000,74.928,12.118,6477
476,20,8,6,50000,75.64,11.756,6302
477,20,8,6,50000,75.08,12.06,6430
478,20,8,6,50000,75.44800000000001,11.874,6339
479,20,8,6,50000,75.82,11.664,6258
480,20,8,6,50000,76.03999999999999,11.53,6215
481,20,8,6,50000,75.5,11.862,6319
482,20,8,6,50000,75.16000000000001,12.014,6413
483,20,8,6,50000,76.2,11.496,6152
484,20,8,6,50000,76.236,11.466,6149
485,20,8,6,50000,75.588,11.77,6321
486,20,8,6,50000,76.0,11.576,6212
487,20,8,6,50000,75.646,11.744,6305
488,20,8,6,50000,75.322,11.874,6402
489,20,8,6,50000,74.886,12.102,6506
490,20,8,6,50000,76.134,11.532,6167
491,20,8,6,50000,75.332,11.899999999999999,6384
492,20,8,6,50000,74.978,12.074,6474
493,20,8,6,50000,75.466,11.818,6358
494,20,8,6,50000,76.248,11.426,6163
495,20,8,6,50000,76.142,11.488,6185
496,20,8,6,50000,76.23400000000001,11.452,6157
497,20,8,6,50000,75.478,11.774,6374
498,20,8,6,50000,75.754,11.68,6283
499,20,8,6,50000,76.8,11.176,6012
500,20,8,6,50000,76.716,11.212,6036
