N,L,R0,M,T,Util,Idle,Collisions
344,20,16,6,50000,61.040000000000006,20.264,9348
345,20,16,6,50000,61.4,20.003999999999998,9298
346,20,16,6,50000,60.0,20.698,9651
347,20,16,6,50000,58.321999999999996,21.536,10071
348,20,16,6,50000,61.456,20.012,9266
349,20,16,6,50000,59.504000000000005,20.962,9767
350,20,16,6,50000,59.955999999999996,20.742,9651
351,20,16,6,50000,59.534,20.952,9757
352,20,16,6,50000,58.60999999999999,21.384,10003
353,20,16,6,50000,59.797999999999995,20.788,9707
354,20,16,6,50000,59.132,21.138,9865
355,20,16,6,50000,61.086,20.182,9366
356,20,16,6,50000,60.08,20.663999999999998,9628
357,20,16,6,50000,59.036,21.15,9907
358,20,16,6,50000,58.642,21.392,9983
359,20,16,6,50000,60.368,20.483999999999998,9574
360,20,16,6,50000,59.878,20.724,9699
361,20,16,6,50000,59.306000000000004,20.994,9850
362,20,16,6,50000,58.668,21.279999999999998,10026
363,20,16,6,50000,59.872,20.696,9716
364,20,16,6,50000,59.392,20.971999999999998,9818
365,20,16,6,50000,59.12,21.072,9904
366,20,16,6,50000,58.599999999999994,21.3,10050
367,20,16,6,50000,58.96,21.13,9955
368,20,16,6,50000,59.138000000000005,21.068,9897
369,20,16,6,50000,59.141999999999996,21.035999999999998,9911
370,20,16,6,50000,57.994,21.6,10203
371,20,16,6,50000,58.48,21.358,10081
372,20,16,6,50000,60.040000000000006,20.578,9691
373,20,16,6,50000,57.28,21.945999999999998,10387
374,20,16,6,50000,58.68,21.236,10042
375,20,16,6,50000,58.867999999999995,21.126,10003
376,20,16,6,50000,57.616,21.762,10311
377,20,16,6,50000,58.699999999999996,21.19,10055
378,20,16,6,50000,58.36,21.378,10131
379,20,16,6,50000,57.896,21.604,10250
380,20,16,6,50000,58.242000000000004,21.43,10164
381,20,16,6,50000,57.812,21.646,10271
382,20,16,6,50000,58.048,21.498,10227
383,20,16,6,50000,57.977999999999994,21.572,10225
384,20,16,6,50000,58.36,21.343999999999998,10148
385,20,16,6,50000,58.32000000000001,21.336,10172
386,20,16,6,50000,57.406,21.802,10396
387,20,16,6,50000,58.492,21.25,10129
388,20,16,6,50000,57.28,21.828,10446
389,20,16,6,50000,58.160000000000004,21.407999999999998,10216
390,20,16,6,50000,59.27,20.855999999999998,9937
391,20,16,6,50000,57.68,21.648,10336
392,20,16,6,50000,57.058,21.91,10516
393,20,16,6,50000,58.967999999999996,20.974,10029
